Date,housing
2003-11-30,57.5
2003-12-31,57.1
2004-01-31,56.8
2004-02-29,56.9
2004-03-31,57.1
2004-04-30,57.2
2004-05-31,57.2
2004-06-30,56.9
2004-07-31,56.7
2004-08-31,56.4
2004-09-30,56.1
2004-10-31,55.9
2004-11-30,55.5
2004-12-31,55.2
2005-01-31,55
2005-02-28,55.3
2005-03-31,55.5
2005-04-30,55.8
2005-05-31,56.1
2005-06-30,56.8
2005-07-31,57.5
2005-08-31,57.7
2005-09-30,57.8
2005-10-31,57.8
2005-11-30,57.8
2005-12-31,57.9
2006-01-31,58.2
2006-02-28,58.6
2006-03-31,59.1
2006-04-30,59.8
2006-05-31,60.8
2006-06-30,61.3
2006-07-31,61.6
2006-08-31,61.9
2006-09-30,62.5
2006-10-31,64
2006-11-30,67.4
2006-12-31,69.7
2007-01-31,71.3
2007-02-28,72.1
2007-03-31,72.5
2007-04-30,73
2007-05-31,73.3
2007-06-30,73.6
2007-07-31,74.2
2007-08-31,74.6
2007-09-30,75.3
2007-10-31,75.9
2007-11-30,76.6
2007-12-31,77
2008-01-31,77.7
2008-02-29,78.2
2008-03-31,79.6
2008-04-30,81.1
2008-05-31,82.4
2008-06-30,83.8
2008-07-31,84.8
2008-08-31,85.4
2008-09-30,86
2008-10-31,85.9
2008-11-30,85.2
2008-12-31,84.2
2009-01-31,83.5
2009-02-28,83.3
2009-03-31,83.1
2009-04-30,83.1
2009-05-31,83.2
2009-06-30,83.5
2009-07-31,83.8
2009-08-31,84.2
2009-09-30,84.9
2009-10-31,85.2
2009-11-30,85.3
2009-12-31,85.3
2010-01-31,85.3
2010-02-28,85.4
2010-03-31,85.4
2010-04-30,85.4
2010-05-31,85.1
2010-06-30,84.8
2010-07-31,84.3
2010-08-31,84
2010-09-30,83.8
2010-10-31,83.7
2010-11-30,83.7
2010-12-31,83.7
2011-01-31,83.8
2011-02-28,84.1
2011-03-31,84.3
2011-04-30,84.5
2011-05-31,84.6
2011-06-30,84.5
2011-07-31,84.5
2011-08-31,84.5
2011-09-30,84.6
2011-10-31,84.5
2011-11-30,84.5
2011-12-31,84.4
2012-01-31,84.2
2012-02-29,84.2
2012-03-31,84
2012-04-30,83.7
2012-05-31,83.4
2012-06-30,83.1
2012-07-31,82.7
2012-08-31,82.2
2012-09-30,81.8
2012-10-31,81.4
2012-11-30,81.1
2012-12-31,80.7
2013-01-31,80.3
2013-02-28,80
2013-03-31,79.8
2013-04-30,79.8
2013-05-31,79.9
2013-06-30,79.9
2013-07-31,79.6
2013-08-31,79.4
2013-09-30,79.4
2013-10-31,79.7
2013-11-30,79.8
2013-12-31,79.8
2014-01-31,80
2014-02-28,80.2
2014-03-31,80.4
2014-04-30,80.4
2014-05-31,80.3
2014-06-30,80.3
2014-07-31,80.3
2014-08-31,80.3
2014-09-30,80.6
2014-10-31,80.8
2014-11-30,80.9
2014-12-31,81
2015-01-31,81.1
2015-02-28,81.3
2015-03-31,81.6
2015-04-30,82
2015-05-31,82.4
2015-06-30,82.8
2015-07-31,83.1
2015-08-31,83.4
2015-09-30,83.7
2015-10-31,84
2015-11-30,84.4
2015-12-31,84.5
2016-01-31,84.6
2016-02-29,84.6
2016-03-31,84.6
2016-04-30,84.6
2016-05-31,84.7
2016-06-30,84.8
2016-07-31,84.9
2016-08-31,85
2016-09-30,85.2
2016-10-31,85.4
2016-11-30,85.6
2016-12-31,85.6
2017-01-31,85.7
2017-02-28,85.7
2017-03-31,85.7
2017-04-30,85.9
2017-05-31,86
2017-06-30,86.3
2017-07-31,86.6
2017-08-31,86.9
2017-09-30,87.1
2017-10-31,87.2
2017-11-30,87.4
2017-12-31,87.7
2018-01-31,88
2018-02-28,88.4
2018-03-31,88.6
2018-04-30,88.8
2018-05-31,88.9
2018-06-30,89
2018-07-31,89.1
2018-08-31,89.3
2018-09-30,89.9
2018-10-31,90.3
2018-11-30,90.5
2018-12-31,90.6
2019-01-31,90.4
2019-02-28,90.3
2019-03-31,90.2
2019-04-30,89.9
2019-05-31,89.8
2019-06-30,89.7
2019-07-31,89.7
2019-08-31,89.7
2019-09-30,89.9
2019-10-31,90.1
2019-11-30,90.4
2019-12-31,91
2020-01-31,91.3
2020-02-29,91.8
2020-03-31,92.7
2020-04-30,93.1
2020-05-31,93.4
2020-06-30,93.8
2020-07-31,94.6
2020-08-31,95.1
2020-09-30,95.5
2020-10-31,95.8
2020-11-30,96.2
2020-12-31,96.9
2021-01-31,97.7
2021-02-28,98.8
2021-03-31,99.8
2021-04-30,100.7
2021-05-31,101.5
2021-06-30,103.1
2021-07-31,104.3
2021-08-31,105.6
2021-09-30,106.9
2021-10-31,108.1
2021-11-30,109
2021-12-31,109.3
2022-01-31,109.4
2022-02-28,109.3
2022-03-31,109.3
2022-04-30,109.3
2022-05-31,109.3
2022-06-30,109.2
2022-07-31,109.1
2022-08-31,108.7
2022-09-30,108
2022-10-31,106.9
2022-11-30,105
2022-12-31,102.2
2023-01-31,100.3
2023-02-28,98.9
2023-03-31,98.1
2023-04-30,97.6
2023-05-31,97.4
2023-06-30,97.4
2023-07-31,97.6
2023-08-31,97.9
2023-09-30,98.3
2023-10-31,98.6
2023-11-30,98.7
2023-12-31,98.5
2024-01-31,98.4
2024-02-29,98.2
2024-03-31,98.1
2024-04-30,98.1
2024-05-31,98.1
2024-06-30,98.3
2024-07-31,98.7
2024-08-31,99.2
2024-09-30,99.6
2024-10-31,99.8
2024-11-30,99.9
2024-12-31,99.9
2025-01-31,99.9
2025-02-28,99.8
2025-03-31,100
2025-04-30,100.1
2025-05-31,100.2
2025-06-30,100.5
2025-07-31,100.9
